,DepDelayMinutes,ArrDelayMinutes,AirTime,ActualElapsedTime,Distance,Scor_Dimensiune_Zbor,Scor_Intarzieri
46785,33.0,25.0,69.0,95.0,519.0,-0.609479143673921,0.223213577768205
46786,0.0,0.0,101.0,120.0,760.0,-0.13803898164957903,-0.25016286445576685
46787,0.0,0.0,127.0,161.0,764.0,0.17072996765419543,-0.3983867988725979
46788,5.0,18.0,292.0,308.0,2349.0,2.671130540426428,-0.08738973087034035
46789,0.0,0.0,81.0,106.0,621.0,-0.4340536417398004,-0.2554579559113239
46790,20.0,0.0,265.0,289.0,2419.0,2.1716777305291695,-0.39322362374269404
46791,0.0,0.0,65.0,84.0,554.0,-0.640483464150622,-0.19412433739206922
46792,6.0,0.0,142.0,158.0,1237.0,0.4542043480928173,-0.2514344891642197
46793,7.0,0.0,88.0,105.0,675.0,-0.3413758374847619,-0.22352722608665943
46794,0.0,0.0,71.0,90.0,451.0,-0.5763581938441152,-0.23093878040811305
46795,28.0,29.0,166.0,181.0,1164.0,0.8180177936436396,0.22641043767131683
46796,20.0,7.0,145.0,162.0,1105.0,0.45538195627299033,-0.16041146018723343
46797,4.0,2.0,213.0,233.0,1642.0,1.452428778843949,-0.34415330644926484
46798,0.0,0.0,105.0,131.0,674.0,-0.11336466942009304,-0.3149410768282261
46799,21.0,7.0,43.0,67.0,243.0,-1.0271141333390725,-0.09436936850236892
46800,0.0,0.0,183.0,207.0,1574.0,1.0445199500444708,-0.3350930324548866
46801,122.0,135.0,85.0,116.0,610.0,-0.20216111450363652,2.2642697705458494
46802,1.0,0.0,275.0,293.0,2367.0,2.37644011813398,-0.39374409880258754
46803,32.0,19.0,93.0,107.0,822.0,-0.24843793352678753,0.16680852076263064
46804,0.0,5.0,137.0,155.0,897.0,0.38000858137903915,-0.21850090299952338
46805,0.0,0.0,68.0,97.0,469.0,-0.635491569650964,-0.27175861744073293
46806,0.0,14.0,52.0,108.0,266.0,-0.8698463380163638,-0.14146015422148284
46807,0.0,0.0,112.0,138.0,989.0,0.023603497715104955,-0.2708325082987991
46808,0.0,0.0,56.0,71.0,296.0,-0.7866748565479084,-0.2004167268871467
46809,0.0,0.0,87.0,118.0,626.0,-0.36787414658904016,-0.30218115154535524
46810,172.0,146.0,132.0,151.0,1121.0,0.3888002029654492,2.500156189157375
46811,41.0,34.0,95.0,108.0,611.0,-0.21231557608274562,0.4106527702312823
46812,39.0,30.0,110.0,133.0,944.0,-0.0014331937381539595,0.3077909243985813
46813,0.0,0.0,81.0,115.0,592.0,-0.45825305251521925,-0.30853224142473723
46814,33.0,29.0,109.0,131.0,793.0,-0.0172659943438996,0.26798505261507444
46815,0.0,13.0,41.0,91.0,236.0,-1.0099399778587814,-0.1054817984229738
46816,0.0,0.0,134.0,156.0,992.0,0.32201490236471936,-0.30865319003049574
46817,0.0,0.0,45.0,67.0,172.0,-0.9645203224216088,-0.23227609230217
46818,0.0,0.0,116.0,135.0,849.0,0.07176518467419253,-0.27287873242939115
46819,0.0,0.0,80.0,94.0,624.0,-0.4222501408115412,-0.19437876430461318
46820,89.0,80.0,76.0,106.0,547.0,-0.4656108608758474,1.2318060398023953
46821,0.0,0.0,51.0,81.0,296.0,-0.8858011009049491,-0.2656973573254056
46822,44.0,12.0,263.0,287.0,2422.0,2.116412641226377,-0.16301356057410893
46823,0.0,0.0,48.0,67.0,257.0,-0.9062754672194732,-0.20761781012048977
46824,2.0,0.0,53.0,71.0,370.0,-0.8293067467691748,-0.19383220014092137
46825,0.0,0.0,84.0,101.0,581.0,-0.3825197305298461,-0.22954442428197588
46826,0.0,0.0,84.0,118.0,599.0,-0.41783479557952996,-0.31523604586309273
46827,1.0,1.0,94.0,117.0,632.0,-0.2561147096276394,-0.2589033882467031
46828,0.0,10.0,310.0,339.0,2519.0,2.883526024566015,-0.3228747308635336
46829,0.0,0.0,337.0,366.0,2677.0,3.214399616326255,-0.5567074391894177
46830,14.0,6.0,49.0,62.0,277.0,-0.8987123245391878,-0.06326592424133202
46831,0.0,0.0,259.0,276.0,1978.0,2.116424312694218,-0.4228086004018317
46832,0.0,0.0,138.0,169.0,1167.0,0.3795109630644789,-0.33172117736664436
46833,29.0,27.0,43.0,63.0,236.0,-0.9546689802651914,0.3079823842878627
46834,0.0,0.0,65.0,85.0,406.0,-0.6638510628455431,-0.22898549246198358
46835,0.0,0.0,111.0,151.0,852.0,-0.04030410470450521,-0.36907424868760275
46836,0.0,0.0,248.0,271.0,1754.0,1.9265243224035737,-0.4694212967858681
46837,2.0,0.0,118.0,131.0,879.0,0.10860343013404519,-0.24133120640288225
46838,0.0,0.0,108.0,122.0,763.0,-0.03449118198204106,-0.24220996941931483
46839,117.0,124.0,109.0,133.0,759.0,0.11670568464002777,2.0556741155491522
46840,145.0,186.0,85.0,121.0,397.0,-0.08840037799827916,3.1706507644562447
46841,326.0,319.0,177.0,198.0,1381.0,1.2700247902468815,5.706803814303968
46842,0.0,0.0,117.0,137.0,909.0,0.09124594307614181,-0.2688291423577651
46843,22.0,4.0,141.0,157.0,1032.0,0.37359086382218304,-0.2172752800218537
46845,11.0,0.0,130.0,165.0,1013.0,0.20445024519418614,-0.3650446096235986
46846,54.0,37.0,98.0,116.0,689.0,-0.20509306551426193,0.44595965716817204
46847,0.0,0.0,98.0,114.0,677.0,-0.18262663612215718,-0.24290596876025788
46848,0.0,0.0,61.0,75.0,456.0,-0.6958958859129787,-0.17666189307734254
46849,0.0,0.0,119.0,137.0,751.0,0.09941476148503751,-0.29533615989399614
46850,0.0,0.0,58.0,90.0,416.0,-0.7811421858600031,-0.2711051993796313
46851,8.0,0.0,36.0,51.0,129.0,-1.101705996277442,-0.18206430677778632
46852,0.0,0.0,24.0,42.0,91.0,-1.2431043585377317,-0.1707412896971312
46853,0.0,0.0,156.0,190.0,1299.0,0.6281895381976246,-0.3696962774936692
46854,12.0,9.0,50.0,80.0,235.0,-0.9084226881717801,-0.10534477121611559
46855,11.0,11.0,142.0,163.0,1121.0,0.459855667660457,-0.09056559278622313
46856,0.0,0.0,233.0,251.0,1685.0,1.7307197276167348,-0.4164417097047192
46857,0.0,0.0,93.0,129.0,587.0,-0.30575063192673796,-0.35245440710735143
46858,138.0,111.0,321.0,347.0,2354.0,2.990715819985328,1.5353612734062252
46859,0.0,0.0,35.0,71.0,119.0,-1.1346854257823764,-0.28940028617394176
46860,0.0,0.0,192.0,212.0,1448.0,1.153692902003529,-0.36360299154984144
46861,0.0,0.0,113.0,141.0,604.0,-0.02270419162715636,-0.36106142149693193
46862,0.0,0.0,51.0,72.0,358.0,-0.8568882624573871,-0.20602114423423187
46863,0.0,0.0,74.0,90.0,516.0,-0.5209699614735815,-0.2102816664553786
46864,25.0,27.0,28.0,49.0,163.0,-1.1502220650040145,0.3297796336533543
46865,0.0,0.0,111.0,154.0,1022.0,-0.0227085798590869,-0.35082184926871113
46866,0.0,0.0,157.0,177.0,1005.0,0.630536918596212,-0.35767971243864655
46867,19.0,16.0,46.0,67.0,300.0,-0.9239576523708486,0.09850737237235911
46868,1.0,10.0,87.0,117.0,630.0,-0.32216314643576505,-0.10390762950178072
46869,13.0,0.0,176.0,193.0,1217.0,0.8710212907029893,-0.3545185932344755
46870,0.0,0.0,43.0,70.0,226.0,-0.9942293487780335,-0.2423326800836042
46871,81.0,85.0,172.0,189.0,1164.0,0.9644962520180503,1.2627078084610477
46872,4.0,0.0,59.0,78.0,349.0,-0.7627950991245327,-0.22006084208621665
46873,0.0,0.0,97.0,122.0,700.0,-0.21253830718362032,-0.28287581243891663
46874,0.0,0.0,103.0,120.0,680.0,-0.11872933419743552,-0.2610653258991094
46875,0.0,7.0,108.0,143.0,888.0,-0.030915898469168857,-0.1927525694507116
46876,0.0,0.0,73.0,100.0,533.0,-0.5561957988666577,-0.26195688095415265
46877,0.0,23.0,204.0,245.0,1192.0,1.334858762930612,-0.11477827166751906
46878,0.0,0.0,68.0,92.0,413.0,-0.6323471648741185,-0.2566993376032022
46879,0.0,0.0,88.0,102.0,587.0,-0.3224190558643289,-0.223392161044127
46880,26.0,0.0,48.0,66.0,269.0,-0.9945963286742119,-0.2073288194061791
46881,0.0,2.0,109.0,142.0,793.0,-0.05011803734447226,-0.300206511360356
46882,0.0,0.0,66.0,86.0,422.0,-0.6484262849320519,-0.22848596231832252
46883,65.0,66.0,148.0,167.0,1086.0,0.6020548338675386,0.9402061333127917
46884,0.0,0.0,79.0,104.0,588.0,-0.4650460287083627,-0.2566570746100934
46885,0.0,0.0,31.0,85.0,119.0,-1.2273579597144062,-0.37313985157884344
46886,0.0,0.0,33.0,58.0,157.0,-1.1310223145470235,-0.21861764572708034
46887,0.0,0.0,65.0,103.0,456.0,-0.6968241211057299,-0.313527755052503
46888,0.0,0.0,31.0,60.0,164.0,-1.1652158148166463,-0.23282446867082127
46889,0.0,0.0,81.0,101.0,563.0,-0.43119489924611515,-0.24079879289668782
46890,0.0,0.0,62.0,79.0,371.0,-0.7015828225222764,-0.21212579301700482
46891,0.0,5.0,62.0,88.0,426.0,-0.6905545778494309,-0.1521431632347577
46892,42.0,2.0,240.0,256.0,1947.0,1.7248260424148352,-0.3458264614734104
46894,0.0,0.0,86.0,120.0,590.0,-0.39284131655733184,-0.32243938044510945
